date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-03-27,3.04,3.06,3.02,2.97,281705.19,-0.01,-0.33,3.086,3.095,3.058,391049.23,400163.53,562469.44
2019-03-26,3.14,3.15,3.03,3,415755.75,-0.1,-3.19,3.106,3.103,3.052,411488.34,465430.58,581680.11
2019-03-25,3.05,3.16,3.13,3.03,535038.31,0.02,0.64,3.13,3.13,3.043,412550.11,551386.99,610892.72
2019-03-22,3.14,3.15,3.11,3.07,350500.03,-0.03,-0.95,3.134,3.125,3.026,374117.43,554279.61,612882.49
2019-03-21,3.12,3.17,3.14,3.11,372246.88,0.02,0.64,3.126,3.107,3.004,381890.48,603191.89,606395.66
2019-03-20,3.14,3.17,3.12,3.05,383900.75,-0.03,-0.95,3.104,3.11,2.979,409277.82,654542.38,604697.64
2019-03-19,3.17,3.22,3.15,3.12,421064.59,0,0,3.1,3.106,2.957,519372.81,711200.36,599771.13
2019-03-18,3.1,3.15,3.15,3.06,342874.91,0.08,2.61,3.13,3.084,2.933,690223.86,714851.01,599554.05
2019-03-15,3.04,3.1,3.07,3.03,389365.25,0.04,1.32,3.116,3.057,2.908,734441.79,737177.96,606857.6
2019-03-14,3.1,3.16,3.03,2.96,509183.59,-0.07,-2.26,3.088,3.037,2.882,824493.31,736231.75,605222.19
2019-03-13,3.25,3.28,3.1,3.1,934375.69,-0.2,-6.06,3.116,3.021,2.857,899806.95,724775.36,590115.95
2019-03-12,3.13,3.39,3.3,3.11,1275319.88,0.22,7.14,3.112,3,2.83,903027.91,697929.64,556684.28
2019-03-11,2.94,3.12,3.08,2.94,563964.56,0.15,5.12,3.038,2.955,2.792,739478.15,670398.46,508347.8
2019-03-08,3.09,3.11,2.93,2.92,839622.81,-0.24,-7.57,2.998,2.927,2.763,739914.13,671485.36,491463.61
2019-03-07,3.07,3.22,3.17,3.03,885751.81,0.09,2.92,2.986,2.901,2.738,647970.19,609599.42,457754.04
2019-03-06,2.96,3.17,3.08,2.93,950480.5,0.15,5.12,2.926,2.847,2.697,549743.76,554852.89,421843.81
2019-03-05,2.89,2.93,2.93,2.86,457571.09,0.05,1.74,2.888,2.807,2.663,492831.37,488341.9,381142.93
2019-03-04,2.88,2.94,2.88,2.86,566144.44,0.01,0.35,2.872,2.781,2.635,601318.76,484257.09,371615.2
2019-03-01,2.86,2.88,2.87,2.82,379903.09,0,0,2.856,2.758,2.614,603056.59,476537.24,353979.07
2019-02-28,2.88,2.94,2.87,2.84,394619.69,-0.02,-0.69,2.816,2.727,2.596,571228.66,474212.63,347329.78
